,index,token_address,id,user,status,uri,name,description,image_url,metadata,collection,created_at,updated_at,god,set,mana,type,image,proto,tribe,attack,effect,health,rarity,quality,ETH amount,USD amount
10,10,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xc4f87e274004aced47392796de7217536b26457ab259871cfadc15eebcc7f3b7,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Trial of the Innocents,,https://card.godsunchained.com/?id=923&q=4,"{'god': 'war', 'set': 'trial', 'mana': 6, 'name': 'Trial of the Innocents', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=923&q=4', 'proto': 923, 'attack': 0, 'effect': 'At the end of your turn, double the strength of each of your creatures and give them ""Afterlife: Deal damage equal to this creature\'s strength, split randomly among all enemy creatures.""', 'health': 0, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:27.043879Z,2021-05-04T19:35:08.162051Z,war,trial,6,card,https://card.godsunchained.com/?id=923&q=4,923,,0,"At the end of your turn, double the strength of each of your creatures and give them ""Afterlife: Deal damage equal to this creature's strength, split randomly among all enemy creatures.""",0,rare,Meteorite,0.00019,0.7937288000000001
11,11,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x65bed3cac52cb0784fc784af7ba8dcc0b37a4be214e7997bc3bde1ff850acfab,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Valknir Zealot,,https://card.godsunchained.com/?id=946&q=4,"{'god': 'war', 'set': 'trial', 'mana': 1, 'name': 'Valknir Zealot', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=946&q=4', 'proto': 946, 'tribe': 'viking', 'attack': 2, 'effect': 'Roar: Gain 1 favor.', 'health': 2, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:25.753578Z,2021-05-04T19:35:08.361747Z,war,trial,1,card,https://card.godsunchained.com/?id=946&q=4,946,viking,2,Roar: Gain 1 favor.,2,common,Meteorite,2.7e-05,0.11279304000000001
12,12,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x3e3d71a4cc3ac2c4a58e3964425c6764bcb827c038cef529c27ee3e8741bf26f,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Blessing of War,,https://card.godsunchained.com/?id=945&q=4,"{'god': 'war', 'set': 'trial', 'mana': 3, 'name': 'Blessing of War', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=945&q=4', 'proto': 945, 'attack': 0, 'effect': 'For each War creature in either void, you gain 3 favor and your opponent loses 3 favor.', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:24.461499Z,2021-05-04T19:35:08.178315Z,war,trial,3,card,https://card.godsunchained.com/?id=945&q=4,945,,0,"For each War creature in either void, you gain 3 favor and your opponent loses 3 favor.",0,common,Meteorite,1.5e-05,0.0626628
13,13,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xb484a7559cacfa28900d31b1a5fcd4b08fad76db88befc802fc3baef4ddde254,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Ornery Goat,,https://card.godsunchained.com/?id=841&q=4,"{'god': 'nature', 'set': 'trial', 'mana': 3, 'name': 'Ornery Goat', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=841&q=4', 'proto': 841, 'tribe': 'wild', 'attack': 3, 'effect': 'Confused.<br>At the start of your turn, deal 2 damage to a random enemy creature.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:23.17139Z,2021-05-04T19:35:08.368801Z,nature,trial,3,card,https://card.godsunchained.com/?id=841&q=4,841,wild,3,"Confused.<br>At the start of your turn, deal 2 damage to a random enemy creature.",3,common,Meteorite,0.00018,0.7519536000000001
14,14,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x994f75a2822e203e2924c26746b599a99fcbbf876bf739e89e768e8ed74d32ba,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Antemion's Reflection,,https://card.godsunchained.com/?id=909&q=4,"{'god': 'magic', 'set': 'trial', 'mana': 5, 'name': ""Antemion's Reflection"", 'type': 'card', 'image': 'https://card.godsunchained.com/?id=909&q=4', 'proto': 909, 'tribe': 'aether', 'attack': 5, 'effect': 'Roar: This creature gains blitz, if any enemy creature has blitz. Repeat for godblitz, deadly, flank, twin strike, regen, ward, and protected.', 'health': 5, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:21.885037Z,2021-05-04T19:35:08.174926Z,magic,trial,5,card,https://card.godsunchained.com/?id=909&q=4,909,aether,5,"Roar: This creature gains blitz, if any enemy creature has blitz. Repeat for godblitz, deadly, flank, twin strike, regen, ward, and protected.",5,rare,Meteorite,0.0002,0.8355040000000001
15,15,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xd0f71ae42341fb01d8331e350bebfc25d1e9b8926853acc12e86705af75f4eb5,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Ludia's Deception,,https://card.godsunchained.com/?id=913&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 1, 'name': ""Ludia's Deception"", 'type': 'card', 'image': 'https://card.godsunchained.com/?id=913&q=4', 'proto': 913, 'attack': 0, 'effect': 'Target an opponent.<br>Look at their hand, and <br>shuffle one of their cards into their deck.<br>Both players draw a card.', 'health': 0, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:20.591986Z,2021-05-04T19:35:08.179184Z,deception,trial,1,card,https://card.godsunchained.com/?id=913&q=4,913,,0,"Target an opponent.<br>Look at their hand, and <br>shuffle one of their cards into their deck.<br>Both players draw a card.",0,rare,Meteorite,0.00018,0.7519536000000001
16,16,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x97fb4ba03239fa0dc54f247af577cf40420a7349a45ba1bd2a9462cb8a57a1b2,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Ornery Goat,,https://card.godsunchained.com/?id=841&q=4,"{'god': 'nature', 'set': 'trial', 'mana': 3, 'name': 'Ornery Goat', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=841&q=4', 'proto': 841, 'tribe': 'wild', 'attack': 3, 'effect': 'Confused.<br>At the start of your turn, deal 2 damage to a random enemy creature.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:19.291502Z,2021-05-04T19:35:08.176317Z,nature,trial,3,card,https://card.godsunchained.com/?id=841&q=4,841,wild,3,"Confused.<br>At the start of your turn, deal 2 damage to a random enemy creature.",3,common,Meteorite,0.00018,0.7519536000000001
17,17,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x502f816b899d5e566e34f2d619cae9be144647c634cb38d117dd2837d9268653,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Ornery Goat,,https://card.godsunchained.com/?id=841&q=4,"{'god': 'nature', 'set': 'trial', 'mana': 3, 'name': 'Ornery Goat', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=841&q=4', 'proto': 841, 'tribe': 'wild', 'attack': 3, 'effect': 'Confused.<br>At the start of your turn, deal 2 damage to a random enemy creature.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:17.997755Z,2021-05-04T19:35:08.177878Z,nature,trial,3,card,https://card.godsunchained.com/?id=841&q=4,841,wild,3,"Confused.<br>At the start of your turn, deal 2 damage to a random enemy creature.",3,common,Meteorite,0.00018,0.7519536000000001
18,18,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x95804c081459088a67d7716f2cfdc3d72cfbf0954c6f5dd9385397b3280a66ba,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Aether Herald,,https://card.godsunchained.com/?id=815&q=4,"{'god': 'magic', 'set': 'trial', 'mana': 2, 'name': 'Aether Herald', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=815&q=4', 'proto': 815, 'tribe': 'aether', 'attack': 2, 'effect': ""Roar: If you are holding an Aether, deal 3 damage to your opponent's god."", 'health': 2, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:16.701223Z,2021-05-04T19:35:08.169166Z,magic,trial,2,card,https://card.godsunchained.com/?id=815&q=4,815,aether,2,"Roar: If you are holding an Aether, deal 3 damage to your opponent's god.",2,common,Meteorite,2.3e-05,0.09608296000000001
19,19,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xbb6b3c87ea81ddd78cf957a44766f1af50cc800a1c3d14e72000d1f2a07ebfbc,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Fenris Berserker,,https://card.godsunchained.com/?id=947&q=4,"{'god': 'war', 'set': 'trial', 'mana': 3, 'name': 'Fenris Berserker', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=947&q=4', 'proto': 947, 'tribe': 'viking', 'attack': 4, 'effect': 'After this creature attacks a god, destroy their relic.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:15.407582Z,2021-05-04T19:35:08.167851Z,war,trial,3,card,https://card.godsunchained.com/?id=947&q=4,947,viking,4,"After this creature attacks a god, destroy their relic.",3,common,Meteorite,2e-05,0.08355040000000001
20,20,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xfe4a261c09958e2ab1cbc26dfd2451748bf9aef4c154d124643748be51d90e6d,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Steadfast Scout,,https://card.godsunchained.com/?id=843&q=4,"{'god': 'nature', 'set': 'trial', 'mana': 3, 'name': 'Steadfast Scout', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=843&q=4', 'proto': 843, 'tribe': 'amazon', 'attack': 1, 'effect': 'Roar: If you control two or more other creatures, give this creature +3/+2.', 'health': 3, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:14.124335Z,2021-05-04T19:35:08.163262Z,nature,trial,3,card,https://card.godsunchained.com/?id=843&q=4,843,amazon,1,"Roar: If you control two or more other creatures, give this creature +3/+2.",3,rare,Meteorite,0.00045,1.879884
21,21,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x8dc16fa124eb43418fb4ad511f99b78254a3e9c99b3ea4550618a372d8a13ebb,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Might Makes Right,,https://card.godsunchained.com/?id=861&q=4,"{'god': 'war', 'set': 'trial', 'mana': 4, 'name': 'Might Makes Right', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=861&q=4', 'proto': 861, 'attack': 0, 'effect': 'Give each creature in your hand +2/+2 and leech.', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:12.837684Z,2021-05-04T19:35:08.169717Z,war,trial,4,card,https://card.godsunchained.com/?id=861&q=4,861,,0,Give each creature in your hand +2/+2 and leech.,0,common,Meteorite,0.00015,0.626628
22,22,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xb28588bd838d63a91da981c6abd5394d93640b2416faa14653913412121a498d,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Diligent Architect,,https://card.godsunchained.com/?id=892&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 3, 'name': 'Diligent Architect', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=892&q=4', 'proto': 892, 'tribe': 'guild', 'attack': 2, 'effect': 'Roar: Delve a Structure,<br>add it to your hand, and<br>give it +2 health.', 'health': 2, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:11.54203Z,2021-05-04T19:35:08.164507Z,neutral,trial,3,card,https://card.godsunchained.com/?id=892&q=4,892,guild,2,"Roar: Delve a Structure,<br>add it to your hand, and<br>give it +2 health.",2,common,Meteorite,7.7e-05,0.32166904
23,23,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x55f394e88223858e3f07a1bf218e47aa7e553cb5c1adfacbe1840541b65f5a0a,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Militant Extortionist,,https://card.godsunchained.com/?id=895&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 1, 'name': 'Militant Extortionist', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=895&q=4', 'proto': 895, 'tribe': 'guild', 'attack': 3, 'effect': 'Roar: Steal 2 favor from your opponent.', 'health': 1, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:10.245953Z,2021-05-04T19:35:08.125741Z,neutral,trial,1,card,https://card.godsunchained.com/?id=895&q=4,895,guild,3,Roar: Steal 2 favor from your opponent.,1,common,Meteorite,1.7e-05,0.07101784000000001
24,24,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x19991a38fea74a0cdc63617bf0ec3233b7fcdadf5551239183aa9add6526997a,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Blessing of Light,,https://card.godsunchained.com/?id=938&q=4,"{'god': 'light', 'set': 'trial', 'mana': 2, 'name': 'Blessing of Light', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=938&q=4', 'proto': 938, 'attack': 0, 'effect': 'Gain 5 favor.<br>If you have a relic equipped, it gains: ""At the end of your turn, gain 5 favor.""', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:08.946891Z,2021-05-04T19:35:08.168863Z,light,trial,2,card,https://card.godsunchained.com/?id=938&q=4,938,,0,"Gain 5 favor.<br>If you have a relic equipped, it gains: ""At the end of your turn, gain 5 favor.""",0,common,Meteorite,1.4e-05,0.05848528000000001
25,25,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x80102409cc0cde13654de556ee6fffb6622cee2b0ed43b2183ca8e57a07386f1,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Mana Auditor,,https://card.godsunchained.com/?id=822&q=4,"{'god': 'magic', 'set': 'trial', 'mana': 6, 'name': 'Mana Auditor', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=822&q=4', 'proto': 822, 'tribe': 'aether', 'attack': 4, 'effect': 'Roar: If you are holding<br>an Aether, remove<br>two mana locks.', 'health': 4, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:07.65089Z,2021-05-04T19:35:08.169026Z,magic,trial,6,card,https://card.godsunchained.com/?id=822&q=4,822,aether,4,"Roar: If you are holding<br>an Aether, remove<br>two mana locks.",4,rare,Meteorite,0.0002,0.8355040000000001
26,26,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x8d9de449524ce82d81c10480067cc1d2fc83af0dbd8e9f799437b5e6da35ad7b,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Guild Siren,,https://card.godsunchained.com/?id=935&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 2, 'name': 'Guild Siren', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=935&q=4', 'proto': 935, 'tribe': 'guild', 'attack': 2, 'effect': 'After this creature attacks a god, pull a random card in their hand into their deck. Then, they draw a card.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:06.352399Z,2021-05-04T19:34:09.40537Z,deception,trial,2,card,https://card.godsunchained.com/?id=935&q=4,935,guild,2,"After this creature attacks a god, pull a random card in their hand into their deck. Then, they draw a card.",3,common,Meteorite,2e-05,0.08355040000000001
27,27,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xcdc9913a9d7d5ca73a143c545e9cc81dc252d158f1606f50f3869becdffe72d0,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Council of the Gods,,https://card.godsunchained.com/?id=915&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 2, 'name': 'Council of the Gods', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=915&q=4', 'proto': 915, 'attack': 0, 'effect': 'Delve a common god power from your domain.<br>It replaces your god power.<br>You cannot use it this turn.<br>Gain 5 favor.', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:05.070027Z,2021-05-04T19:34:09.399333Z,neutral,trial,2,card,https://card.godsunchained.com/?id=915&q=4,915,,0,Delve a common god power from your domain.<br>It replaces your god power.<br>You cannot use it this turn.<br>Gain 5 favor.,0,common,Meteorite,1.5e-05,0.0626628
28,28,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xf6a12b872fe890b5e1b6511f20246b87091446fee1654770cbabacbdca096984,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Diligent Architect,,https://card.godsunchained.com/?id=892&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 3, 'name': 'Diligent Architect', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=892&q=4', 'proto': 892, 'tribe': 'guild', 'attack': 2, 'effect': 'Roar: Delve a Structure,<br>add it to your hand, and<br>give it +2 health.', 'health': 2, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:03.782865Z,2021-05-04T19:34:09.391141Z,neutral,trial,3,card,https://card.godsunchained.com/?id=892&q=4,892,guild,2,"Roar: Delve a Structure,<br>add it to your hand, and<br>give it +2 health.",2,common,Meteorite,7.7e-05,0.32166904
